k,accuracy,F1
1,0.09968877968877969,0.0
11,0.09968877968877969,0.0
21,0.09968877968877969,0.0
31,0.09968877968877969,0.0
41,0.10076576576576576,0.0
51,0.10076576576576576,0.0
